name,oof_balanced_accuracy,oof_delta_vs_base,selected_rows,test_selected_rows,feature_mask,transition_rule,challenger_conf_min,challenger_margin_min,base_conf_max,class_recalls,transition_counts,outcome_counts,meta_fold_mean_delta,meta_fold_min_delta,meta_fold_positive_rate
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_star,0.55,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
gi_7_9_base_galaxy_to_star_c0_40_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,gi_7_9,base_galaxy_to_star,0.4,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_55_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_non_galaxy,0.55,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_45_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_non_galaxy,0.45,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_40_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_non_galaxy,0.4,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
gi_7_9_base_galaxy_to_star_c0_45_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,gi_7_9,base_galaxy_to_star,0.45,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
gi_7_9_base_galaxy_to_star_c0_50_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,gi_7_9,base_galaxy_to_star,0.5,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_50_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_non_galaxy,0.5,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
gi_7_9_base_galaxy_to_star_c0_55_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,gi_7_9,base_galaxy_to_star,0.55,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
high_gi_low_rz_base_galaxy_to_star_c0_40_m0_15_b0_60,0.970572593097016,4.460723197774463e-05,83,40,high_gi_low_rz,base_galaxy_to_star,0.4,0.15,0.6,"{'GALAXY': 0.9599713892126736, 'QSO': 0.977301247193601, 'STAR': 0.9744451428847735}",{'GALAXY->STAR': 83},"{'broken': 59, 'fixed': 24}",4.460732945714252e-05,-3.283586585589582e-05,0.76
