candidate,group,value,count,delta_vs_reference,changed_rows_vs_reference
56_te_disagreement,spectral_type,A/F,122122,0.0,0
56_te_disagreement,spectral_type,G/K,108546,0.0,0
56_te_disagreement,spectral_type,M,303323,0.0,0
56_te_disagreement,spectral_type,O/B,43356,0.0,0
56_te_disagreement,spectral_population,A/F_Blue_Cloud,111542,0.0,0
56_te_disagreement,spectral_population,A/F_Red_Sequence,10580,0.0,0
56_te_disagreement,spectral_population,G/K_Blue_Cloud,63918,0.0,0
56_te_disagreement,spectral_population,G/K_Red_Sequence,44628,0.0,0
56_te_disagreement,spectral_population,M_Blue_Cloud,40106,0.0,0
56_te_disagreement,spectral_population,M_Red_Sequence,263217,0.0,0
56_te_disagreement,spectral_population,O/B_Blue_Cloud,42216,0.0,0
56_te_disagreement,spectral_population,O/B_Red_Sequence,1140,0.0,0
56_te_disagreement,redshift_bin,0,57735,0.0,0
56_te_disagreement,redshift_bin,1,57735,0.0,0
56_te_disagreement,redshift_bin,2,57734,0.0,0
56_te_disagreement,redshift_bin,3,57735,0.0,0
56_te_disagreement,redshift_bin,4,57735,0.0,0
56_te_disagreement,redshift_bin,5,57734,0.0,0
56_te_disagreement,redshift_bin,6,57735,0.0,0
56_te_disagreement,redshift_bin,7,57734,0.0,0
56_te_disagreement,redshift_bin,8,57735,0.0,0
56_te_disagreement,redshift_bin,9,57735,0.0,0
56_te_disagreement,g_i_bin,0,57735,0.0,0
56_te_disagreement,g_i_bin,1,57735,0.0,0
56_te_disagreement,g_i_bin,2,57734,0.0,0
56_te_disagreement,g_i_bin,3,57735,0.0,0
56_te_disagreement,g_i_bin,4,57735,0.0,0
56_te_disagreement,g_i_bin,5,57734,0.0,0
56_te_disagreement,g_i_bin,6,57735,0.0,0
56_te_disagreement,g_i_bin,7,57734,0.0,0
56_te_disagreement,g_i_bin,8,57735,0.0,0
56_te_disagreement,g_i_bin,9,57735,0.0,0
56_te_disagreement,u_r_bin,0,57735,0.0,0
56_te_disagreement,u_r_bin,1,57735,0.0,0
56_te_disagreement,u_r_bin,2,57734,0.0,0
56_te_disagreement,u_r_bin,3,57735,0.0,0
56_te_disagreement,u_r_bin,4,57735,0.0,0
56_te_disagreement,u_r_bin,5,57734,0.0,0
56_te_disagreement,u_r_bin,6,57735,0.0,0
56_te_disagreement,u_r_bin,7,57734,0.0,0
56_te_disagreement,u_r_bin,8,57735,0.0,0
56_te_disagreement,u_r_bin,9,57735,0.0,0
56_te_disagreement,mag_range_bin,0,57735,0.0,0
56_te_disagreement,mag_range_bin,1,57735,0.0,0
56_te_disagreement,mag_range_bin,2,57734,0.0,0
56_te_disagreement,mag_range_bin,3,57735,0.0,0
56_te_disagreement,mag_range_bin,4,57735,0.0,0
56_te_disagreement,mag_range_bin,5,57734,0.0,0
56_te_disagreement,mag_range_bin,6,57735,0.0,0
56_te_disagreement,mag_range_bin,7,57734,0.0,0
56_te_disagreement,mag_range_bin,8,57735,0.0,0
56_te_disagreement,mag_range_bin,9,57735,0.0,0
68_research_material_stack,spectral_type,A/F,122122,0.0005671227116363919,58
68_research_material_stack,spectral_type,G/K,108546,-6.459055782004341e-05,71
68_research_material_stack,spectral_type,M,303323,-0.00018586886319771345,73
68_research_material_stack,spectral_type,O/B,43356,0.0007692446827574084,12
68_research_material_stack,spectral_population,A/F_Blue_Cloud,111542,0.0006361886571225606,54
68_research_material_stack,spectral_population,A/F_Red_Sequence,10580,0.00014590953608761836,4
68_research_material_stack,spectral_population,G/K_Blue_Cloud,63918,9.76751623630312e-05,47
68_research_material_stack,spectral_population,G/K_Red_Sequence,44628,-0.0004723375626545234,24
68_research_material_stack,spectral_population,M_Blue_Cloud,40106,-0.0003797778928653628,14
68_research_material_stack,spectral_population,M_Red_Sequence,263217,-2.9411566623727126e-05,59
68_research_material_stack,spectral_population,O/B_Blue_Cloud,42216,0.0007967697075145219,12
68_research_material_stack,spectral_population,O/B_Red_Sequence,1140,0.0,0
68_research_material_stack,redshift_bin,0,57735,0.00034435822986489395,39
68_research_material_stack,redshift_bin,1,57735,-0.0005593466131083025,47
68_research_material_stack,redshift_bin,2,57734,-8.484019340437854e-05,40
68_research_material_stack,redshift_bin,3,57735,-0.0004862530747516969,12
68_research_material_stack,redshift_bin,4,57735,4.212173180495604e-05,7
68_research_material_stack,redshift_bin,5,57734,-0.00017776935832813923,11
68_research_material_stack,redshift_bin,6,57735,-0.0001411120892047535,13
68_research_material_stack,redshift_bin,7,57734,-8.825255783395658e-05,11
68_research_material_stack,redshift_bin,8,57735,0.0002713134113467852,34
68_research_material_stack,redshift_bin,9,57735,0.0,0
68_research_material_stack,g_i_bin,0,57735,0.0012852672313241609,11
68_research_material_stack,g_i_bin,1,57735,0.0008708297738452275,16
68_research_material_stack,g_i_bin,2,57734,0.0004856085475823946,36
68_research_material_stack,g_i_bin,3,57735,9.948223437772352e-05,59
68_research_material_stack,g_i_bin,4,57735,-0.00012819929912932793,24
68_research_material_stack,g_i_bin,5,57734,-0.000637243139874677,26
68_research_material_stack,g_i_bin,6,57735,3.591115580059423e-05,18
68_research_material_stack,g_i_bin,7,57734,-0.00018787502615236207,12
68_research_material_stack,g_i_bin,8,57735,2.3711291316841354e-05,6
68_research_material_stack,g_i_bin,9,57735,3.591244545797512e-05,6
68_research_material_stack,u_r_bin,0,57735,0.0011963084344868147,24
68_research_material_stack,u_r_bin,1,57735,0.00042061196880549545,31
68_research_material_stack,u_r_bin,2,57734,0.0002749501648557917,24
68_research_material_stack,u_r_bin,3,57735,6.3210650398271e-05,33
68_research_material_stack,u_r_bin,4,57735,4.6313854074275795e-05,21
68_research_material_stack,u_r_bin,5,57734,-1.9136000921182728e-05,12
68_research_material_stack,u_r_bin,6,57735,-0.000697731102518806,18
68_research_material_stack,u_r_bin,7,57734,-0.00027196047687294556,15
68_research_material_stack,u_r_bin,8,57735,-1.9049126349202083e-05,18
68_research_material_stack,u_r_bin,9,57735,-0.00046844993632366716,18
68_research_material_stack,mag_range_bin,0,57735,0.001224570010392001,12
68_research_material_stack,mag_range_bin,1,57735,0.0008154536730471396,23
68_research_material_stack,mag_range_bin,2,57734,0.0004545240025448649,37
68_research_material_stack,mag_range_bin,3,57735,0.00011923677633718377,46
68_research_material_stack,mag_range_bin,4,57735,-0.0002423444692108978,28
68_research_material_stack,mag_range_bin,5,57734,3.738387633411833e-05,10
68_research_material_stack,mag_range_bin,6,57735,-0.00037982542307590794,8
68_research_material_stack,mag_range_bin,7,57734,-0.00034732740719256583,18
68_research_material_stack,mag_range_bin,8,57735,-0.0005148296505351757,21
68_research_material_stack,mag_range_bin,9,57735,1.7943656917318584e-05,11
69_guarded_research_stack,spectral_type,A/F,122122,0.0011742482209822214,238
69_guarded_research_stack,spectral_type,G/K,108546,-6.873302570431505e-07,220
69_guarded_research_stack,spectral_type,M,303323,-0.0003246090123880663,123
69_guarded_research_stack,spectral_type,O/B,43356,0.0021310697078394947,61
69_guarded_research_stack,spectral_population,A/F_Blue_Cloud,111542,0.0012855841448681238,225
69_guarded_research_stack,spectral_population,A/F_Red_Sequence,10580,0.0007962593781398741,13
69_guarded_research_stack,spectral_population,G/K_Blue_Cloud,63918,0.00043876926943708927,170
69_guarded_research_stack,spectral_population,G/K_Red_Sequence,44628,-0.00043255081959736597,50
69_guarded_research_stack,spectral_population,M_Blue_Cloud,40106,-0.0006317765363712535,41
69_guarded_research_stack,spectral_population,M_Red_Sequence,263217,-2.5426883744739115e-05,82
69_guarded_research_stack,spectral_population,O/B_Blue_Cloud,42216,0.0023139845662013547,59
69_guarded_research_stack,spectral_population,O/B_Red_Sequence,1140,-0.0033103764921946777,2
69_guarded_research_stack,redshift_bin,0,57735,0.00034435822986489395,39
69_guarded_research_stack,redshift_bin,1,57735,-0.0005593466131083025,47
69_guarded_research_stack,redshift_bin,2,57734,-8.484019340437854e-05,40
69_guarded_research_stack,redshift_bin,3,57735,-0.0018526838606068852,91
69_guarded_research_stack,redshift_bin,4,57735,-0.0003199524999840664,35
69_guarded_research_stack,redshift_bin,5,57734,-0.0003980681227027105,45
69_guarded_research_stack,redshift_bin,6,57735,-0.0015378396299339236,64
69_guarded_research_stack,redshift_bin,7,57734,-7.637695161788471e-05,95
69_guarded_research_stack,redshift_bin,8,57735,0.000947943106790472,186
69_guarded_research_stack,redshift_bin,9,57735,0.0,0
69_guarded_research_stack,g_i_bin,0,57735,0.0032956872537133197,48
