candidate,subset,count,reference_bac,candidate_bac,delta_vs_reference,changed_rows_vs_reference
rollback_weak_gi2_to_69_guarded_research_stack,weak_ur6,57735,0.9478036745801539,0.9475517581106562,-0.00025191646949773716,19
rollback_weak_gi2_to_69_guarded_research_stack,weak_ob,43356,0.8713893931929476,0.8729867706719405,0.0015973774789929118,25
rollback_weak_gi2_to_69_guarded_research_stack,weak_gk_red,44628,0.9575979896437724,0.9572763741461358,-0.0003216154976366514,13
rollback_weak_gi2_to_69_guarded_research_stack,weak_mag2,57734,0.9182853784281774,0.9189536244701394,0.0006682460419620284,62
rollback_weak_gi2_to_69_guarded_research_stack,weak_gi2,57734,0.8980329751688938,0.8998144560241058,0.0017814808552120143,145
rollback_weak_gi2_to_69_guarded_research_stack,good_rz2,57734,0.8740247603722469,0.8740474331440268,2.267277177991911e-05,50
rollback_weak_gi2_to_69_guarded_research_stack,good_af_blue,111542,0.9138900933000862,0.9148328542790446,0.0009427609789584013,116
rollback_weak_gi2_to_69_guarded_research_stack,good_ur1,57735,0.9315997295302373,0.932406541291277,0.0008068117610396941,60
rollback_weak_gi2_to_69_guarded_research_stack,good_mag0,57735,0.7067134689273241,0.7099793330919623,0.0032658641646381437,29
rollback_weak_gi2_to_69_guarded_research_stack,good_high_gi,173204,0.8866548535902538,0.8866233518874274,-3.1501702826397526e-05,35
rollback_weak_gi2_to_69_guarded_research_stack,good_m,303323,0.915165667672622,0.9150240554836727,-0.0001416121889492583,99
rollback_weak_gi2_to_69_guarded_research_stack,weak_core,219558,0.9617912317177137,0.9620263413559756,0.0002351096382618989,194
rollback_weak_gi2_to_69_guarded_research_stack,good_core,475101,0.971041289520517,0.9711425237437573,0.00010123422324026521,256
rollback_weak_gi2_to_69_guarded_research_stack,good_not_weak,329290,0.968032903420478,0.968104944117938,7.204069746002961e-05,109
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_ur6,57735,0.9478036745801539,0.947771490037705,-3.218454244890978e-05,16
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_ob,43356,0.8713893931929476,0.8722331507478037,0.000843757554856106,14
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_gk_red,44628,0.9575979896437724,0.9575978514457191,-1.3819805333437074e-07,5
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_mag2,57734,0.9182853784281774,0.9187499546329119,0.00046457620473450145,35
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,weak_gi2,57734,0.8980329751688938,0.8985245991605998,0.0004916239917059917,31
classblend_our-ovr-catboost-realmlp-features_GALAXY_a0p0050,good_rz2,57734,0.8740247603722469,0.8742789146255082,0.00025415425326136276,51
